hotel_name,city,description_first,price_euros_first,rating,num_reviews,quality_over_5,quality_type,description_second,price_euros_second,description,description_no_stopwords,description_stem
#10OCA6 - Apartamento en Vista Alegre,"Madrid, Community of Madrid","Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 50m²
3 beds (1 twin, 1 full, 1 sofa bed)
Free cancellation",601.0,6.9,22.0,3.0,squares,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 50m²
3 beds (1 twin, 1 full, 1 sofa bed)
Free cancellation",601.0,"Situated 5.2 km from Parque de Atracciones de Madrid and 5.2 km from Mercado San Miguel in Madrid, #10OCA6 - Apartamento en Vista Alegre offers accommodation with a kitchen. The property is located 5.3 km from Plaza Mayor, 5.7 km from Puerta del Sol and 5.8 km from Atocha Train Station. Free WiFi is available throughout the property and Puerta de Toledo is 4.2 km away.

The air-conditioned apartment consists of 2 separate bedrooms, 1 bathroom with a hair dryer, a seating area, and a living room. A flat-screen TV is available. The accommodation is non-smoking.

Casa de Campo is 5.9 km from the apartment, while Royal Palace of Madrid is 6 km from the property. Adolfo Suarez Madrid-Barajas Airport is 19 km away.",52 parque atracciones 52 mercado san miguel 10oca6 apartamento vista alegre offers kitchen property 53 plaza mayor 57 puerta sol 58 atocha train station free throughout property puerta toledo 42 airconditioned consists 2 separate bedrooms 1 hair dryer seating area living flatscreen nonsmoking casa campo 59 royal palace 6 property adolfo suarez madridbarajas airport 19,52 parqu atraccion 52 mercado san miguel 10oca6 apartamento vista alegr offer kitchen properti 53 plaza mayor 57 puerta sol 58 atocha train station free throughout properti puerta toledo 42 aircondit consist 2 separ bedroom 1 hair dryer seat area live flatscreen nonsmok casa campo 59 royal palac 6 properti adolfo suarez madridbaraja airport 19
021 Center Barca 2 1,Barcelona,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 40m²
3 beds (1 full, 1 bunk bed, 1 sofa bed)",761.0,1.2,4.0,,,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 40m²
3 beds (1 full, 1 bunk bed, 1 sofa bed)",1819.0,"Situated in Barcelona, 2 km from Somorrostro Beach and 2.1 km from Sant Miquel Beach, 021 Center Barca 2 1 provides accommodation with amenities such as free WiFi and a flat-screen TV. The property is around less than 1 km from Passeig de Gracia Metro Station, a 7-minute walk from Cathedral of Barcelona and less than 1 km from Plaça Catalunya. The property is 2 km from Barceloneta Beach, and within 600 metres of the city centre.

The air-conditioned apartment is composed of 2 separate bedrooms, a living room, a fully equipped kitchen, and 1 bathroom. The accommodation is non-smoking.

Popular points of interest near the apartment include Passeig de Gracia, Palau de la Musica Catalana and Tivoli Theatre. Barcelona El Prat Airport is 13 km from the property.",2 somorrostro beach 21 sant miquel beach 021 center barca 2 1 provides amenities free flatscreen property around less 1 passeig gracia metro station 7minute cathedral less 1 plaça catalunya property 2 barceloneta beach within 600 city centre airconditioned composed 2 separate bedrooms living fully equipped kitchen 1 nonsmoking points interest near passeig gracia palau musica catalana tivoli theatre prat airport 13 property,2 somorrostro beach 21 sant miquel beach 021 center barca 2 1 provid amen free flatscreen properti around less 1 passeig gracia metro station 7minut cathedr less 1 plaça catalunya properti 2 barceloneta beach within 600 citi centr aircondit compos 2 separ bedroom live fulli equip kitchen 1 nonsmok point interest near passeig gracia palau musica catalana tivoli theatr prat airport 13 properti
031 Center barca 3 1,Barcelona,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 40m²
3 beds (1 full, 1 bunk bed, 1 sofa bed)",790.0,2.8,11.0,,,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 40m²
3 beds (1 full, 1 bunk bed, 1 sofa bed)",3421.0,"Set in Barcelona, 2 km from Somorrostro Beach and 2.1 km from Sant Miquel Beach, 031 Center barca 3 1 provides accommodation with amenities such as free WiFi and a flat-screen TV. The property is around less than 1 km from Passeig de Gracia Metro Station, a 7-minute walk from Cathedral of Barcelona and less than 1 km from Plaça Catalunya. The property is 2 km from Barceloneta Beach, and within 600 metres of the city centre.

The air-conditioned apartment is composed of 2 separate bedrooms, a living room, a fully equipped kitchen, and 1 bathroom. The accommodation is non-smoking.

Popular points of interest near the apartment include Passeig de Gracia, Palau de la Musica Catalana and Tivoli Theatre. Barcelona El Prat Airport is 13 km away.",set 2 somorrostro beach 21 sant miquel beach 031 center barca 3 1 provides amenities free flatscreen property around less 1 passeig gracia metro station 7minute cathedral less 1 plaça catalunya property 2 barceloneta beach within 600 city centre airconditioned composed 2 separate bedrooms living fully equipped kitchen 1 nonsmoking points interest near passeig gracia palau musica catalana tivoli theatre prat airport 13,set 2 somorrostro beach 21 sant miquel beach 031 center barca 3 1 provid amen free flatscreen properti around less 1 passeig gracia metro station 7minut cathedr less 1 plaça catalunya properti 2 barceloneta beach within 600 citi centr aircondit compos 2 separ bedroom live fulli equip kitchen 1 nonsmok point interest near passeig gracia palau musica catalana tivoli theatr prat airport 13
042 Center Barça 4 2,Barcelona,"Loft
Entire apartment • 2 bedrooms • 1 bathroom • 40m²
3 beds (1 twin, 1 full, 1 bunk bed)
Only 1 left at this price on our site",761.0,2.7,7.0,,,"Loft
Entire apartment • 2 bedrooms • 1 bathroom • 40m²
3 beds (1 twin, 1 full, 1 bunk bed)
Only 1 left at this price on our site",1297.0,"Located in Barcelona, 2 km from Somorrostro Beach and 2.1 km from Sant Miquel Beach, 042 Center Barça 4 2 provides accommodation with amenities such as free WiFi and a flat-screen TV. This property is situated a short distance from attractions such as Passeig de Gracia Metro Station, Cathedral of Barcelona, and Plaça Catalunya. The property is 2 km from Barceloneta Beach, and within 600 metres of the city centre.

The air-conditioned apartment is composed of 2 separate bedrooms, a fully equipped kitchen, and 1 bathroom. The accommodation is non-smoking.

Popular points of interest near the apartment include Passeig de Gracia, Palau de la Musica Catalana and Tivoli Theatre. Barcelona El Prat Airport is 13 km away.",2 somorrostro beach 21 sant miquel beach 042 center barça 4 2 provides amenities free flatscreen property short attractions passeig gracia metro station cathedral plaça catalunya property 2 barceloneta beach within 600 city centre airconditioned composed 2 separate bedrooms fully equipped kitchen 1 nonsmoking points interest near passeig gracia palau musica catalana tivoli theatre prat airport 13,2 somorrostro beach 21 sant miquel beach 042 center barça 4 2 provid amen free flatscreen properti short attract passeig gracia metro station cathedr plaça catalunya properti 2 barceloneta beach within 600 citi centr aircondit compos 2 separ bedroom fulli equip kitchen 1 nonsmok point interest near passeig gracia palau musica catalana tivoli theatr prat airport 13
08028 Apartments,Barcelona,"Twin Room - No Kitchen
2 twin beds
Only 2 rooms left at this price on our site",935.0,8.8,4274.0,4.0,squares,"Studio Apartment (1 - 2 Adults)
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 30m²
2 twin beds
Only 1 left at this price on our site",1824.0,"08028 Apartments are situated next to Les Corts Metro Station and 5 minutes’ walk from Barcelona’s Camp Nou Football Stadium. The modern apartments share a rooftop pool with views of Barcelona.

Apartments and suites at the 08028 feature contemporary design and free Wi-Fi. Apartments include a balcony, lounge area and a fitted kitchen.

The Taberna Lizarran at the 08028 Apartments serves traditional Spanish cuisine, including tapas.

The 08028 Apartments are a 15-minute walk from Sants Train Station. Plaza Catalunya and the famous Las Ramblas can be reached in around 20 minutes, by Metro.",08028 next corts metro station 5 barcelonas camp nou football stadium share rooftop pool views suites 08028 contemporary design free lounge area fitted kitchen taberna lizarran 08028 serves traditional spanish cuisine including tapas 08028 15minute sants train station plaza catalunya famous ramblas reached around 20 metro,08028 next cort metro station 5 barcelona camp nou footbal stadium share rooftop pool view suit 08028 contemporari design free loung area fit kitchen taberna lizarran 08028 serv tradit spanish cuisin includ tapa 08028 15minut sant train station plaza catalunya famou rambla reach around 20 metro
1208 - EXCLUSIVE DESIGN APARTMENT,Barcelona,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 2 bathrooms • 90m²
2 full beds",3102.0,8.1,53.0,4.0,squares,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 2 bathrooms • 90m²
2 full beds
Free cancellation",4617.0,"Situated in the centre of Barcelona, 2.9 km from Somorrostro Beach and 2.9 km from Sant Miquel Beach, 1208 - EXCLUSIVE DESIGN APARTMENT offers free WiFi and air conditioning. This apartment features accommodation with a balcony. The property is non-smoking and is set 2.9 km from Barceloneta Beach.

The spacious apartment has 2 bedrooms, a flat-screen TV, an equipped kitchen, a washing machine and 2 bathrooms with a bath. Towels and bed linen are available in the apartment.

Popular points of interest near the apartment include Palau de la Musica Catalana, Tivoli Theatre and Passeig de Gracia Metro Station. The nearest airport is Barcelona El Prat Airport, 13 km from 1208 - EXCLUSIVE DESIGN APARTMENT.",centre 29 somorrostro beach 29 sant miquel beach 1208 exclusive design offers free air conditioning features property nonsmoking set 29 barceloneta beach spacious 2 bedrooms flatscreen equipped kitchen washing machine 2 bathrooms bath towels bed linen points interest near palau musica catalana tivoli theatre passeig gracia metro station nearest airport prat airport 13 1208 exclusive design,centr 29 somorrostro beach 29 sant miquel beach 1208 exclus design offer free air condit featur properti nonsmok set 29 barceloneta beach spaciou 2 bedroom flatscreen equip kitchen wash machin 2 bathroom bath towel bed linen point interest near palau musica catalana tivoli theatr passeig gracia metro station nearest airport prat airport 13 1208 exclus design
1881 Madrid Ventas Hotel,"Madrid, Community of Madrid","Double or Twin Room
Beds: 1 double or 2 twins",1000.0,8.9,1395.0,4.0,stars,"Double or Twin Room
Beds: 1 double or 2 twins",1139.0,"Situated in Madrid, 3.9 km from Thyssen-Bornemisza Museum, 1881 Madrid Ventas Hotel features accommodation with a shared lounge, private parking, a restaurant and a bar. With free WiFi, this 4-star hotel offers room service and a 24-hour front desk. The property is non-smoking and is set 4 km from El Retiro Park.

The hotel will provide guests with air-conditioned rooms with a desk, a kettle, a minibar, a safety deposit box, a flat-screen TV and a private bathroom with a shower. The rooms have a wardrobe.

A buffet, continental or Italian breakfast is available at the property.

Gran Via Metro Station is 4.2 km from 1881 Madrid Ventas Hotel, while Gran Via is 4.8 km from the property. Adolfo Suarez Madrid-Barajas Airport is 9 km away.",39 thyssenbornemisza museum 1881 ventas features shared lounge parking restaurant bar free 4star offers 24hour front property nonsmoking set 4 retiro park provide guests airconditioned rooms kettle minibar safety deposit box flatscreen shower rooms wardrobe buffet continental italian breakfast property gran via metro station 42 1881 ventas gran via 48 property adolfo suarez madridbarajas airport 9,39 thyssenbornemisza museum 1881 venta featur share loung park restaur bar free 4star offer 24hour front properti nonsmok set 4 retiro park provid guest aircondit room kettl minibar safeti deposit box flatscreen shower room wardrob buffet continent italian breakfast properti gran via metro station 42 1881 venta gran via 48 properti adolfo suarez madridbaraja airport 9
2 bedrooms 1 bathroom furnished - Las Letras - Bright - MintyStay,"Madrid, Community of Madrid","Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 bathroom • 1 kitchen • 60m²
2 full beds
Free cancellation",1099.0,7.5,28.0,3.0,squares,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 bathroom • 1 kitchen • 60m²
2 full beds
Free cancellation",1658.0,"Situated in the centre of Madrid, 1.1 km from Plaza Mayor and 800 metres from Reina Sofia Museum, 2 bedrooms 1 bathroom furnished - Las Letras - Bright - MintyStay offers free WiFi and air conditioning. This apartment features accommodation with a balcony. The property is non-smoking and is set 1.1 km from Atocha Train Station.

The apartment features 2 bedrooms, a fully equipped kitchen with an oven and a microwave, and 1 bathroom with a shower, a hair dryer and a washing machine. Towels and bed linen are available in the apartment.

Popular points of interest near the apartment include Mercado San Miguel, Thyssen-Bornemisza Museum and Puerta del Sol. Adolfo Suarez Madrid-Barajas Airport is 15 km from the property.",centre 11 plaza mayor 800 reina sofia museum 2 bedrooms 1 furnished letras bright mintystay offers free air conditioning features property nonsmoking set 11 atocha train station features 2 bedrooms fully equipped kitchen oven microwave 1 shower hair dryer washing machine towels bed linen points interest near mercado san miguel thyssenbornemisza museum puerta sol adolfo suarez madridbarajas airport 15 property,centr 11 plaza mayor 800 reina sofia museum 2 bedroom 1 furnish letra bright mintystay offer free air condit featur properti nonsmok set 11 atocha train station featur 2 bedroom fulli equip kitchen oven microwav 1 shower hair dryer wash machin towel bed linen point interest near mercado san miguel thyssenbornemisza museum puerta sol adolfo suarez madridbaraja airport 15 properti
3bedroom Duplex with balcony in plaza Cataluña,Barcelona,"Apartment
4 beds (2 twins, 2 fulls)
Only 1 left at this price on our site",1548.0,6.8,5.0,3.0,squares,"Apartment
4 beds (2 twins, 2 fulls)
Free cancellation
Only 1 left at this price on our site",4278.0,"Situated in the centre of Barcelona, 2.6 km from Somorrostro Beach and 2.6 km from Sant Miquel Beach, 3bedroom Duplex with balcony in plaza Cataluña offers free WiFi and air conditioning. This apartment features accommodation with a patio. The property is non-smoking and is set 2.7 km from Barceloneta Beach.

The spacious apartment has 3 bedrooms, a TV and a fully equipped kitchen that provides guests with a dishwasher, a fridge, a washing machine, a stovetop and kitchenware. For added privacy, the accommodation features a private entrance.

Popular points of interest near the apartment include Passeig de Gracia, Tivoli Theatre and Passeig de Gracia Metro Station. Barcelona El Prat Airport is 13 km from the property.",centre 26 somorrostro beach 26 sant miquel beach 3bedroom duplex plaza cataluña offers free air conditioning features patio property nonsmoking set 27 barceloneta beach spacious 3 bedrooms fully equipped kitchen provides guests dishwasher fridge washing machine stovetop kitchenware added privacy features entrance points interest near passeig gracia tivoli theatre passeig gracia metro station prat airport 13 property,centr 26 somorrostro beach 26 sant miquel beach 3bedroom duplex plaza cataluña offer free air condit featur patio properti nonsmok set 27 barceloneta beach spaciou 3 bedroom fulli equip kitchen provid guest dishwash fridg wash machin stovetop kitchenwar ad privaci featur entranc point interest near passeig gracia tivoli theatr passeig gracia metro station prat airport 13 properti
4C Bravo Murillo,"Madrid, Community of Madrid","Double Room
1 full bed
Free cancellation
Only 5 rooms left at this price on our site",705.0,8.2,5764.0,2.0,stars,"Twin Room
2 twin beds
Free cancellation
Only 2 rooms left at this price on our site",800.0,"The 4C Bravo Murillo hotel is located near Cuatro Caminos, in the commercial area of Madrid. It is a short walk from the famous Bernabeu football stadium.

The hotel offers comfortable, good-value accommodation. The rooms have extra-long beds and 26-inch (66 cm) plasma TV. The en suite bathrooms have hairdryers and heated towel racks.

The Bravo Murillo has excellent transport links to the city centre. Estrecho metro station is right next to the hotel. The AZCA business area is also less than 1km away.",4c bravo murillo near cuatro caminos commercial area short famous bernabeu football stadium offers comfortable goodvalue rooms extralong beds 26inch 66 cm plasma suite bathrooms hairdryers heated towel racks bravo murillo excellent transport links city centre estrecho metro station right next azca business area also less 1km,4c bravo murillo near cuatro camino commerci area short famou bernabeu footbal stadium offer comfort goodvalu room extralong bed 26inch 66 cm plasma suit bathroom hairdryer heat towel rack bravo murillo excel transport link citi centr estrecho metro station right next azca busi area also less 1km
